iteration,best_cost,worst_cost,average_cost,global_best_cost,best_tour
1,4.433062,28.531605,15.610277,4.433062,L1 -> L5 -> L3 -> L2 -> L9 -> L10 -> L4 -> L6 -> L7 -> L8
2,6.278274,21.909097,13.836157,4.433062,L8 -> L7 -> L6 -> L4 -> L9 -> L2 -> L10 -> L1 -> L3 -> L5
3,6.479963,22.597410,15.878654,4.433062,L1 -> L5 -> L3 -> L10 -> L2 -> L9 -> L4 -> L6 -> L8 -> L7
4,4.371955,32.521379,14.529478,4.371955,L8 -> L7 -> L6 -> L4 -> L9 -> L2 -> L10 -> L3 -> L1 -> L5
5,5.399733,32.971879,14.640871,4.371955,L8 -> L7 -> L6 -> L4 -> L9 -> L10 -> L2 -> L1 -> L3 -> L5
6,4.250055,36.198293,17.320513,4.250055,L3 -> L1 -> L5 -> L2 -> L10 -> L9 -> L4 -> L6 -> L7 -> L8
7,6.278274,24.139253,15.645925,4.250055,L8 -> L7 -> L6 -> L4 -> L9 -> L2 -> L10 -> L1 -> L3 -> L5
8,3.566344,28.332158,14.574043,3.566344,L8 -> L7 -> L6 -> L4 -> L9 -> L10 -> L2 -> L3 -> L1 -> L5
9,6.094321,28.654006,16.794616,3.566344,L8 -> L7 -> L6 -> L4 -> L10 -> L9 -> L2 -> L1 -> L3 -> L5
10,3.566739,28.537275,15.689932,3.566344,L8 -> L7 -> L6 -> L4 -> L9 -> L10 -> L2 -> L1 -> L5 -> L3
11,4.977789,24.075754,16.155321,3.566344,L1 -> L5 -> L3 -> L10 -> L2 -> L9 -> L4 -> L6 -> L7 -> L8
12,4.371955,40.480728,18.487990,3.566344,L8 -> L7 -> L6 -> L4 -> L9 -> L2 -> L10 -> L3 -> L1 -> L5
13,4.977789,31.645704,15.318707,3.566344,L1 -> L5 -> L3 -> L10 -> L2 -> L9 -> L4 -> L6 -> L7 -> L8
14,5.679173,31.650770,13.888228,3.566344,L3 -> L1 -> L5 -> L2 -> L10 -> L9 -> L4 -> L6 -> L8 -> L7
15,4.251316,34.900432,18.267590,3.566344,L1 -> L5 -> L3 -> L2 -> L10 -> L9 -> L4 -> L6 -> L7 -> L8
16,4.251316,23.169904,14.706625,3.566344,L1 -> L5 -> L3 -> L2 -> L10 -> L9 -> L4 -> L6 -> L7 -> L8
17,4.251316,32.452324,18.726306,3.566344,L1 -> L5 -> L3 -> L2 -> L10 -> L9 -> L4 -> L6 -> L7 -> L8
18,4.977789,38.879771,16.938199,3.566344,L1 -> L5 -> L3 -> L10 -> L2 -> L9 -> L4 -> L6 -> L7 -> L8
19,5.399733,30.625746,16.698928,3.566344,L8 -> L7 -> L6 -> L4 -> L9 -> L10 -> L2 -> L1 -> L3 -> L5
20,4.250055,30.750584,15.109433,3.566344,L3 -> L1 -> L5 -> L2 -> L10 -> L9 -> L4 -> L6 -> L7 -> L8
21,4.250055,31.522380,19.785780,3.566344,L3 -> L1 -> L5 -> L2 -> L10 -> L9 -> L4 -> L6 -> L7 -> L8
22,4.371955,28.958160,17.957093,3.566344,L8 -> L7 -> L6 -> L4 -> L9 -> L2 -> L10 -> L3 -> L1 -> L5
23,4.371955,26.956436,14.443372,3.566344,L8 -> L7 -> L6 -> L4 -> L9 -> L2 -> L10 -> L3 -> L1 -> L5
24,4.977789,30.497046,16.987537,3.566344,L1 -> L5 -> L3 -> L10 -> L2 -> L9 -> L4 -> L6 -> L7 -> L8
25,3.566344,39.920149,16.997121,3.566344,L8 -> L7 -> L6 -> L4 -> L9 -> L10 -> L2 -> L3 -> L1 -> L5
26,4.976528,34.035212,16.062509,3.566344,L3 -> L1 -> L5 -> L10 -> L2 -> L9 -> L4 -> L6 -> L7 -> L8
27,4.371955,31.827733,15.132642,3.566344,L8 -> L7 -> L6 -> L4 -> L9 -> L2 -> L10 -> L3 -> L1 -> L5
28,4.251316,30.020722,16.594335,3.566344,L1 -> L5 -> L3 -> L2 -> L10 -> L9 -> L4 -> L6 -> L7 -> L8
29,6.278274,27.108766,17.712257,3.566344,L8 -> L7 -> L6 -> L4 -> L9 -> L2 -> L10 -> L1 -> L3 -> L5
30,9.255006,26.124853,17.190332,3.566344,L1 -> L5 -> L3 -> L2 -> L9 -> L4 -> L10 -> L7 -> L6 -> L8
31,4.371955,31.067304,15.407410,3.566344,L8 -> L7 -> L6 -> L4 -> L9 -> L2 -> L10 -> L3 -> L1 -> L5
32,4.371955,33.365653,17.496513,3.566344,L8 -> L7 -> L6 -> L4 -> L9 -> L2 -> L10 -> L3 -> L1 -> L5
33,4.976528,34.694314,16.749710,3.566344,L3 -> L1 -> L5 -> L10 -> L2 -> L9 -> L4 -> L6 -> L7 -> L8
34,5.679173,31.073539,16.938025,3.566344,L3 -> L1 -> L5 -> L2 -> L10 -> L9 -> L4 -> L6 -> L8 -> L7
35,4.977789,30.355060,17.022616,3.566344,L1 -> L5 -> L3 -> L10 -> L2 -> L9 -> L4 -> L6 -> L7 -> L8
36,4.977789,37.092206,17.675542,3.566344,L1 -> L5 -> L3 -> L10 -> L2 -> L9 -> L4 -> L6 -> L7 -> L8
37,4.977789,26.907124,14.608447,3.566344,L1 -> L5 -> L3 -> L10 -> L2 -> L9 -> L4 -> L6 -> L7 -> L8
38,5.511859,26.238256,17.522559,3.566344,L8 -> L6 -> L7 -> L4 -> L9 -> L10 -> L2 -> L3 -> L1 -> L5
39,4.976528,36.219099,17.185366,3.566344,L3 -> L1 -> L5 -> L10 -> L2 -> L9 -> L4 -> L6 -> L7 -> L8
40,5.399733,28.785857,16.180198,3.566344,L8 -> L7 -> L6 -> L4 -> L9 -> L10 -> L2 -> L1 -> L3 -> L5
41,5.399733,33.242788,17.331421,3.566344,L8 -> L7 -> L6 -> L4 -> L9 -> L10 -> L2 -> L1 -> L3 -> L5
42,4.977789,34.282016,15.528677,3.566344,L1 -> L5 -> L3 -> L10 -> L2 -> L9 -> L4 -> L6 -> L7 -> L8
