iteration,best_cost,worst_cost,average_cost,global_best_cost,best_tour
1,4.373813,15.420261,8.313449,4.373813,L5 -> L2 -> L1 -> L3 -> L4
2,2.285880,10.177712,6.610434,2.285880,L1 -> L2 -> L3 -> L4 -> L5
3,2.285880,12.814905,7.098863,2.285880,L1 -> L2 -> L3 -> L4 -> L5
4,1.981908,17.358462,8.430673,1.981908,L2 -> L1 -> L3 -> L4 -> L5
5,1.981908,15.420261,8.262599,1.981908,L2 -> L1 -> L3 -> L4 -> L5
6,1.981908,15.994339,7.737848,1.981908,L2 -> L1 -> L3 -> L4 -> L5
7,2.285880,15.420261,8.356177,1.981908,L1 -> L2 -> L3 -> L4 -> L5
8,1.981908,15.420261,8.380941,1.981908,L2 -> L1 -> L3 -> L4 -> L5
9,1.981908,18.825451,7.460796,1.981908,L2 -> L1 -> L3 -> L4 -> L5
10,2.285880,18.609168,8.059846,1.981908,L1 -> L2 -> L3 -> L4 -> L5
11,1.981908,17.301721,8.048207,1.981908,L2 -> L1 -> L3 -> L4 -> L5
12,1.981908,15.994339,7.893646,1.981908,L2 -> L1 -> L3 -> L4 -> L5
13,1.981908,17.358462,8.377540,1.981908,L2 -> L1 -> L3 -> L4 -> L5
14,1.981908,12.814905,7.011011,1.981908,L2 -> L1 -> L3 -> L4 -> L5
15,4.373813,15.420261,7.986265,1.981908,L5 -> L2 -> L1 -> L3 -> L4
16,1.981908,17.312420,8.110717,1.981908,L2 -> L1 -> L3 -> L4 -> L5
17,2.285880,12.325811,6.705765,1.981908,L1 -> L2 -> L3 -> L4 -> L5
18,1.981908,17.358462,7.794844,1.981908,L2 -> L1 -> L3 -> L4 -> L5
19,1.981908,15.019763,7.751568,1.981908,L2 -> L1 -> L3 -> L4 -> L5
20,1.981908,17.368894,7.379954,1.981908,L2 -> L1 -> L3 -> L4 -> L5
21,4.373813,15.420261,7.928717,1.981908,L5 -> L2 -> L1 -> L3 -> L4
22,1.981908,15.420261,7.759861,1.981908,L2 -> L1 -> L3 -> L4 -> L5
23,1.981908,16.016678,8.355448,1.981908,L2 -> L1 -> L3 -> L4 -> L5
24,1.981908,17.368894,7.093586,1.981908,L2 -> L1 -> L3 -> L4 -> L5
25,4.373813,19.255115,8.974306,1.981908,L5 -> L2 -> L1 -> L3 -> L4
26,1.981908,11.858777,6.178630,1.981908,L2 -> L1 -> L3 -> L4 -> L5
27,2.285880,17.358462,7.938314,1.981908,L1 -> L2 -> L3 -> L4 -> L5
28,1.981908,18.179504,7.316177,1.981908,L2 -> L1 -> L3 -> L4 -> L5
29,4.373813,15.019763,8.061932,1.981908,L5 -> L2 -> L1 -> L3 -> L4
30,4.373813,15.019763,7.630969,1.981908,L5 -> L2 -> L1 -> L3 -> L4
31,1.981908,17.449508,8.385462,1.981908,L2 -> L1 -> L3 -> L4 -> L5
32,4.373813,13.253636,7.427943,1.981908,L5 -> L2 -> L1 -> L3 -> L4
33,4.629030,15.420261,6.563087,1.981908,L5 -> L1 -> L2 -> L3 -> L4
34,1.981908,12.804262,6.549311,1.981908,L2 -> L1 -> L3 -> L4 -> L5
35,4.373813,15.420261,8.384674,1.981908,L5 -> L2 -> L1 -> L3 -> L4
36,1.981908,16.340765,7.788363,1.981908,L2 -> L1 -> L3 -> L4 -> L5
37,1.981908,13.873055,7.622709,1.981908,L2 -> L1 -> L3 -> L4 -> L5
38,1.981908,17.358462,7.950778,1.981908,L2 -> L1 -> L3 -> L4 -> L5
39,2.285880,15.019763,8.043737,1.981908,L1 -> L2 -> L3 -> L4 -> L5
40,1.981908,18.237850,8.997539,1.981908,L2 -> L1 -> L3 -> L4 -> L5
41,1.981908,9.902278,6.171437,1.981908,L2 -> L1 -> L3 -> L4 -> L5
42,4.373813,17.301721,7.691953,1.981908,L5 -> L2 -> L1 -> L3 -> L4
43,1.981908,17.368894,6.642194,1.981908,L2 -> L1 -> L3 -> L4 -> L5
44,4.373813,15.019763,6.528354,1.981908,L5 -> L2 -> L1 -> L3 -> L4
45,2.285880,15.019763,7.475960,1.981908,L1 -> L2 -> L3 -> L4 -> L5
46,2.285880,13.253636,6.147088,1.981908,L1 -> L2 -> L3 -> L4 -> L5
47,1.981908,13.768225,7.673925,1.981908,L2 -> L1 -> L3 -> L4 -> L5
48,1.981908,19.044520,7.531262,1.981908,L2 -> L1 -> L3 -> L4 -> L5
49,2.285880,10.177712,6.973946,1.981908,L1 -> L2 -> L3 -> L4 -> L5
50,2.285880,17.312420,8.928795,1.981908,L1 -> L2 -> L3 -> L4 -> L5
51,1.981908,17.368894,7.658997,1.981908,L2 -> L1 -> L3 -> L4 -> L5
52,2.285880,17.358462,8.591968,1.981908,L1 -> L2 -> L3 -> L4 -> L5
53,1.981908,15.420261,8.764408,1.981908,L2 -> L1 -> L3 -> L4 -> L5
54,1.981908,17.368894,9.017277,1.981908,L2 -> L1 -> L3 -> L4 -> L5
