iteration,best_cost,worst_cost,average_cost,global_best_cost,best_tour
1,-3.560425,0.962377,-1.048392,-3.560425,L3 -> L6 -> L4 -> L2 -> L1 -> L5
2,-3.607031,3.253310,-1.648703,-3.607031,L3 -> L4 -> L6 -> L2 -> L1 -> L5
3,-2.853128,5.179477,-0.851367,-3.607031,L3 -> L6 -> L4 -> L1 -> L2 -> L5
4,-3.560140,2.108847,-1.125693,-3.607031,L6 -> L3 -> L4 -> L2 -> L1 -> L5
5,-3.560140,4.452094,-0.930546,-3.607031,L6 -> L3 -> L4 -> L2 -> L1 -> L5
6,-3.607031,8.997308,-0.903420,-3.607031,L3 -> L4 -> L6 -> L2 -> L1 -> L5
7,-3.023830,5.005871,-1.090056,-3.607031,L5 -> L6 -> L3 -> L4 -> L2 -> L1
8,-3.023830,2.291821,-0.578391,-3.607031,L5 -> L6 -> L3 -> L4 -> L2 -> L1
9,-3.023830,3.253310,-0.555652,-3.607031,L5 -> L6 -> L3 -> L4 -> L2 -> L1
10,-3.560425,5.005871,-0.429778,-3.607031,L3 -> L6 -> L4 -> L2 -> L1 -> L5
11,-3.560140,1.594477,-1.558386,-3.607031,L6 -> L3 -> L4 -> L2 -> L1 -> L5
12,-3.560140,0.963825,-1.423192,-3.607031,L6 -> L3 -> L4 -> L2 -> L1 -> L5
13,-3.560425,3.253310,-0.310801,-3.607031,L3 -> L6 -> L4 -> L2 -> L1 -> L5
14,-3.560425,7.969805,-0.674583,-3.607031,L3 -> L6 -> L4 -> L2 -> L1 -> L5
15,-3.560425,2.280118,-1.070526,-3.607031,L3 -> L6 -> L4 -> L2 -> L1 -> L5
16,-3.560425,3.449194,-0.547670,-3.607031,L3 -> L6 -> L4 -> L2 -> L1 -> L5
17,-3.560140,2.191270,-1.159023,-3.607031,L6 -> L3 -> L4 -> L2 -> L1 -> L5
18,-3.560425,4.932540,-0.869662,-3.607031,L3 -> L6 -> L4 -> L2 -> L1 -> L5
19,-3.607031,2.291821,-1.099229,-3.607031,L3 -> L4 -> L6 -> L2 -> L1 -> L5
20,-3.560140,6.234107,-0.071097,-3.607031,L6 -> L3 -> L4 -> L2 -> L1 -> L5
21,-3.560140,3.253310,-1.530384,-3.607031,L6 -> L3 -> L4 -> L2 -> L1 -> L5
22,-3.560140,4.582699,-0.347567,-3.607031,L6 -> L3 -> L4 -> L2 -> L1 -> L5
23,-3.607031,6.582473,-0.207716,-3.607031,L3 -> L4 -> L6 -> L2 -> L1 -> L5
24,-3.607031,2.109049,-1.357856,-3.607031,L3 -> L4 -> L6 -> L2 -> L1 -> L5
25,-3.607031,1.085149,-1.378522,-3.607031,L3 -> L4 -> L6 -> L2 -> L1 -> L5
26,-3.560425,5.005871,-0.452829,-3.607031,L3 -> L6 -> L4 -> L2 -> L1 -> L5
27,-3.560140,7.969805,-0.368323,-3.607031,L6 -> L3 -> L4 -> L2 -> L1 -> L5
28,-2.853128,2.280118,-1.230979,-3.607031,L3 -> L6 -> L4 -> L1 -> L2 -> L5
29,-3.607031,2.753845,-1.255428,-3.607031,L3 -> L4 -> L6 -> L2 -> L1 -> L5
30,-3.560425,2.281941,-1.065456,-3.607031,L3 -> L6 -> L4 -> L2 -> L1 -> L5
31,-3.560425,3.253310,-1.165498,-3.607031,L3 -> L6 -> L4 -> L2 -> L1 -> L5
32,-3.023830,3.052261,-0.571130,-3.607031,L5 -> L6 -> L3 -> L4 -> L2 -> L1
33,-3.560140,5.305258,-0.448219,-3.607031,L6 -> L3 -> L4 -> L2 -> L1 -> L5
34,-3.560425,5.780742,-0.336422,-3.607031,L3 -> L6 -> L4 -> L2 -> L1 -> L5
35,-3.560140,2.108847,-1.449553,-3.607031,L6 -> L3 -> L4 -> L2 -> L1 -> L5
36,-3.607031,2.280118,-0.941033,-3.607031,L3 -> L4 -> L6 -> L2 -> L1 -> L5
37,-3.560140,4.582699,-0.112400,-3.607031,L6 -> L3 -> L4 -> L2 -> L1 -> L5
38,-3.560140,2.108847,-0.737375,-3.607031,L6 -> L3 -> L4 -> L2 -> L1 -> L5
39,-3.560140,2.291821,-0.738687,-3.607031,L6 -> L3 -> L4 -> L2 -> L1 -> L5
40,-3.560140,3.449194,-0.982937,-3.607031,L6 -> L3 -> L4 -> L2 -> L1 -> L5
41,-3.560140,3.253310,-1.344898,-3.607031,L6 -> L3 -> L4 -> L2 -> L1 -> L5
42,-3.560425,5.005871,-1.133004,-3.607031,L3 -> L6 -> L4 -> L2 -> L1 -> L5
43,-3.607031,2.057887,-1.647265,-3.607031,L3 -> L4 -> L6 -> L2 -> L1 -> L5
44,-3.560140,2.280118,-0.741262,-3.607031,L6 -> L3 -> L4 -> L2 -> L1 -> L5
45,-3.560425,5.780742,-0.274970,-3.607031,L3 -> L6 -> L4 -> L2 -> L1 -> L5
46,-3.023830,2.243400,-1.071060,-3.607031,L5 -> L6 -> L3 -> L4 -> L2 -> L1
47,-3.560425,5.780742,-0.541923,-3.607031,L3 -> L6 -> L4 -> L2 -> L1 -> L5
48,-3.560140,3.829864,-0.838331,-3.607031,L6 -> L3 -> L4 -> L2 -> L1 -> L5
49,-3.560140,1.085149,-1.038527,-3.607031,L6 -> L3 -> L4 -> L2 -> L1 -> L5
50,-2.853128,2.281941,-0.647702,-3.607031,L3 -> L6 -> L4 -> L1 -> L2 -> L5
51,-2.853128,6.828683,-0.378285,-3.607031,L3 -> L6 -> L4 -> L1 -> L2 -> L5
52,-3.560425,8.997308,-0.674524,-3.607031,L3 -> L6 -> L4 -> L2 -> L1 -> L5
