iteration,best_cost,worst_cost,average_cost,global_best_cost,best_tour
1,253.378339,787.879094,567.824693,253.378339,L22 -> L20 -> L6 -> L3 -> L24 -> L8 -> L14 -> L4 -> L26 -> L10 -> L16 -> L31 -> L27 -> L21 -> L28 -> L1 -> L25 -> L30 -> L17 -> L18 -> L9 -> L5 -> L12 -> L23 -> L2 -> L7 -> L19 -> L15 -> L13 -> L32 -> L11 -> L29
2,270.048891,741.219123,603.297118,253.378339,L14 -> L8 -> L6 -> L3 -> L24 -> L20 -> L22 -> L28 -> L1 -> L25 -> L30 -> L29 -> L17 -> L32 -> L11 -> L13 -> L15 -> L19 -> L7 -> L2 -> L23 -> L12 -> L9 -> L5 -> L18 -> L10 -> L26 -> L16 -> L31 -> L27 -> L21 -> L4
3,272.311986,798.487376,588.909540,253.378339,L6 -> L3 -> L24 -> L20 -> L22 -> L8 -> L14 -> L4 -> L10 -> L26 -> L16 -> L31 -> L27 -> L21 -> L17 -> L28 -> L25 -> L1 -> L30 -> L15 -> L19 -> L7 -> L12 -> L5 -> L18 -> L9 -> L23 -> L2 -> L13 -> L32 -> L11 -> L29
4,255.786005,765.284214,532.659266,253.378339,L4 -> L14 -> L8 -> L22 -> L20 -> L3 -> L6 -> L24 -> L28 -> L25 -> L1 -> L30 -> L29 -> L17 -> L32 -> L11 -> L13 -> L15 -> L19 -> L2 -> L7 -> L23 -> L12 -> L5 -> L9 -> L18 -> L10 -> L16 -> L26 -> L31 -> L27 -> L21
5,208.977349,701.113608,515.209718,208.977349,L20 -> L6 -> L3 -> L24 -> L22 -> L8 -> L14 -> L4 -> L28 -> L1 -> L25 -> L30 -> L17 -> L29 -> L11 -> L32 -> L13 -> L15 -> L19 -> L2 -> L7 -> L23 -> L12 -> L5 -> L9 -> L18 -> L10 -> L26 -> L16 -> L31 -> L27 -> L21
6,228.685706,912.262921,562.470194,208.977349,L14 -> L8 -> L6 -> L3 -> L24 -> L20 -> L22 -> L28 -> L1 -> L25 -> L30 -> L17 -> L29 -> L32 -> L11 -> L13 -> L15 -> L19 -> L7 -> L2 -> L23 -> L12 -> L5 -> L9 -> L18 -> L10 -> L26 -> L16 -> L31 -> L27 -> L21 -> L4
7,220.368565,782.284796,488.922681,208.977349,L20 -> L6 -> L3 -> L24 -> L22 -> L8 -> L14 -> L4 -> L1 -> L28 -> L25 -> L30 -> L17 -> L29 -> L11 -> L32 -> L13 -> L15 -> L19 -> L7 -> L2 -> L12 -> L23 -> L5 -> L9 -> L18 -> L10 -> L26 -> L16 -> L31 -> L27 -> L21
8,261.365591,787.623662,519.959037,208.977349,L14 -> L8 -> L6 -> L3 -> L24 -> L20 -> L22 -> L28 -> L1 -> L25 -> L30 -> L17 -> L29 -> L32 -> L13 -> L11 -> L15 -> L7 -> L19 -> L2 -> L12 -> L23 -> L9 -> L5 -> L18 -> L26 -> L10 -> L16 -> L31 -> L27 -> L21 -> L4
9,220.070149,627.318561,480.189493,208.977349,L4 -> L14 -> L8 -> L22 -> L6 -> L20 -> L3 -> L24 -> L28 -> L1 -> L25 -> L30 -> L17 -> L29 -> L11 -> L32 -> L15 -> L13 -> L7 -> L19 -> L2 -> L23 -> L12 -> L5 -> L9 -> L18 -> L10 -> L26 -> L16 -> L31 -> L27 -> L21
10,219.615126,680.715058,539.749728,208.977349,L24 -> L20 -> L3 -> L6 -> L22 -> L8 -> L14 -> L4 -> L28 -> L1 -> L25 -> L30 -> L17 -> L29 -> L11 -> L32 -> L15 -> L13 -> L7 -> L19 -> L2 -> L23 -> L12 -> L5 -> L9 -> L18 -> L10 -> L26 -> L16 -> L31 -> L27 -> L21
11,232.273998,707.709410,573.303016,208.977349,L20 -> L3 -> L6 -> L24 -> L22 -> L8 -> L14 -> L4 -> L28 -> L25 -> L1 -> L30 -> L17 -> L29 -> L32 -> L11 -> L13 -> L15 -> L7 -> L19 -> L2 -> L12 -> L23 -> L9 -> L5 -> L18 -> L10 -> L26 -> L16 -> L31 -> L27 -> L21
12,213.920609,760.561561,545.961742,208.977349,L22 -> L20 -> L6 -> L3 -> L24 -> L8 -> L14 -> L4 -> L28 -> L25 -> L1 -> L30 -> L17 -> L29 -> L32 -> L11 -> L13 -> L15 -> L7 -> L19 -> L2 -> L23 -> L12 -> L5 -> L9 -> L18 -> L10 -> L26 -> L16 -> L31 -> L27 -> L21
13,251.960564,705.418260,502.992353,208.977349,L6 -> L3 -> L24 -> L20 -> L22 -> L8 -> L14 -> L4 -> L21 -> L31 -> L27 -> L26 -> L10 -> L16 -> L18 -> L9 -> L5 -> L12 -> L23 -> L2 -> L7 -> L19 -> L15 -> L13 -> L32 -> L11 -> L17 -> L29 -> L1 -> L28 -> L25 -> L30
14,234.894670,660.750204,513.349361,208.977349,L28 -> L1 -> L25 -> L30 -> L17 -> L29 -> L32 -> L11 -> L13 -> L15 -> L19 -> L7 -> L2 -> L23 -> L12 -> L5 -> L9 -> L18 -> L26 -> L10 -> L16 -> L31 -> L27 -> L21 -> L24 -> L3 -> L6 -> L20 -> L22 -> L8 -> L14 -> L4
15,280.297395,742.294690,496.178671,208.977349,L14 -> L24 -> L20 -> L3 -> L6 -> L22 -> L8 -> L28 -> L25 -> L1 -> L30 -> L17 -> L29 -> L15 -> L11 -> L32 -> L13 -> L2 -> L19 -> L7 -> L12 -> L5 -> L23 -> L9 -> L18 -> L10 -> L26 -> L16 -> L27 -> L31 -> L21 -> L4
16,218.772345,673.233978,516.759033,208.977349,L20 -> L3 -> L24 -> L6 -> L22 -> L8 -> L14 -> L4 -> L28 -> L25 -> L1 -> L30 -> L17 -> L29 -> L11 -> L32 -> L13 -> L15 -> L19 -> L7 -> L2 -> L23 -> L12 -> L5 -> L9 -> L18 -> L10 -> L16 -> L26 -> L31 -> L27 -> L21
17,243.733253,762.727043,516.021212,208.977349,L6 -> L3 -> L24 -> L20 -> L22 -> L8 -> L14 -> L4 -> L21 -> L27 -> L31 -> L26 -> L10 -> L16 -> L18 -> L9 -> L5 -> L12 -> L23 -> L2 -> L7 -> L19 -> L15 -> L13 -> L11 -> L32 -> L1 -> L28 -> L25 -> L30 -> L17 -> L29
18,265.130387,710.619240,488.691777,208.977349,L6 -> L3 -> L24 -> L20 -> L22 -> L8 -> L14 -> L4 -> L28 -> L1 -> L25 -> L30 -> L17 -> L29 -> L32 -> L11 -> L13 -> L15 -> L7 -> L19 -> L2 -> L12 -> L23 -> L9 -> L18 -> L5 -> L26 -> L10 -> L16 -> L31 -> L27 -> L21
19,244.878325,782.734286,508.488634,208.977349,L22 -> L20 -> L3 -> L6 -> L24 -> L8 -> L14 -> L4 -> L29 -> L15 -> L11 -> L32 -> L13 -> L7 -> L19 -> L2 -> L23 -> L9 -> L12 -> L5 -> L18 -> L10 -> L26 -> L16 -> L31 -> L27 -> L21 -> L17 -> L25 -> L28 -> L1 -> L30
20,203.917619,625.070880,461.688555,203.917619,L6 -> L3 -> L24 -> L20 -> L22 -> L8 -> L14 -> L4 -> L28 -> L1 -> L25 -> L30 -> L17 -> L29 -> L32 -> L11 -> L13 -> L15 -> L19 -> L7 -> L2 -> L23 -> L12 -> L5 -> L9 -> L18 -> L10 -> L26 -> L16 -> L31 -> L27 -> L21
