iteration,best_cost,worst_cost,average_cost,global_best_cost,best_tour
1,134.616768,448.575603,293.711049,134.616768,L4 -> L3 -> L24 -> L11 -> L14 -> L2 -> L12 -> L22 -> L16 -> L20 -> L21 -> L6 -> L18 -> L17 -> L19 -> L7 -> L8 -> L5 -> L15 -> L13 -> L23 -> L1 -> L9 -> L10
2,151.685726,465.195639,277.098717,134.616768,L4 -> L24 -> L3 -> L11 -> L9 -> L10 -> L12 -> L2 -> L20 -> L16 -> L21 -> L6 -> L17 -> L19 -> L18 -> L7 -> L8 -> L5 -> L13 -> L23 -> L15 -> L14 -> L22 -> L1
3,148.632240,568.017406,318.570337,134.616768,L4 -> L24 -> L3 -> L11 -> L14 -> L2 -> L15 -> L20 -> L23 -> L13 -> L5 -> L8 -> L17 -> L19 -> L7 -> L18 -> L6 -> L21 -> L16 -> L22 -> L12 -> L9 -> L1 -> L10
4,148.337179,429.287347,298.310757,134.616768,L17 -> L19 -> L18 -> L7 -> L23 -> L13 -> L15 -> L5 -> L8 -> L6 -> L21 -> L20 -> L16 -> L22 -> L14 -> L2 -> L12 -> L1 -> L9 -> L10 -> L11 -> L3 -> L24 -> L4
5,138.136415,437.638988,283.095393,134.616768,L4 -> L24 -> L3 -> L14 -> L22 -> L21 -> L6 -> L17 -> L19 -> L18 -> L7 -> L8 -> L5 -> L13 -> L23 -> L15 -> L16 -> L20 -> L12 -> L2 -> L1 -> L9 -> L10 -> L11
6,136.156740,432.383533,290.346439,134.616768,L1 -> L14 -> L21 -> L6 -> L17 -> L18 -> L19 -> L7 -> L8 -> L5 -> L13 -> L23 -> L15 -> L16 -> L20 -> L22 -> L2 -> L12 -> L9 -> L10 -> L11 -> L3 -> L24 -> L4
7,123.408425,440.111614,312.633595,123.408425,L4 -> L3 -> L24 -> L11 -> L9 -> L1 -> L12 -> L20 -> L23 -> L13 -> L15 -> L19 -> L7 -> L8 -> L5 -> L17 -> L18 -> L6 -> L21 -> L16 -> L22 -> L2 -> L14 -> L10
8,105.465331,387.331234,273.583247,105.465331,L4 -> L3 -> L24 -> L11 -> L9 -> L1 -> L12 -> L16 -> L21 -> L6 -> L17 -> L18 -> L7 -> L19 -> L5 -> L8 -> L13 -> L23 -> L15 -> L20 -> L22 -> L2 -> L14 -> L10
9,111.317644,470.816872,290.981822,105.465331,L3 -> L4 -> L24 -> L11 -> L1 -> L21 -> L6 -> L17 -> L18 -> L19 -> L7 -> L8 -> L5 -> L13 -> L23 -> L15 -> L20 -> L16 -> L22 -> L2 -> L14 -> L12 -> L9 -> L10
10,128.733377,428.092678,269.392380,105.465331,L3 -> L4 -> L24 -> L11 -> L12 -> L21 -> L6 -> L18 -> L17 -> L7 -> L8 -> L19 -> L5 -> L13 -> L23 -> L15 -> L20 -> L16 -> L22 -> L14 -> L2 -> L1 -> L9 -> L10
