iteration,best_cost,worst_cost,average_cost,global_best_cost,best_tour
1,99999.000000,99999.000000,99999.000000,99999.000000,L9 -> L34 -> L32 -> L8 -> L19 -> L22 -> L23 -> L2 -> L24 -> L21 -> L11 -> L5 -> L38 -> L14 -> L18 -> L33 -> L43 -> L10 -> L27 -> L17 -> L12 -> L1 -> L30 -> L6 -> L25 -> L16 -> L37 -> L29 -> L41 -> L15 -> L13 -> L42 -> L28 -> L36 -> L40 -> L39 -> L35 -> L20 -> L4 -> L26 -> L44 -> L7 -> L31 -> L3
2,99999.000000,99999.000000,99999.000000,99999.000000,L9 -> L34 -> L32 -> L41 -> L17 -> L10 -> L8 -> L22 -> L23 -> L19 -> L14 -> L6 -> L12 -> L1 -> L30 -> L15 -> L25 -> L16 -> L36 -> L40 -> L39 -> L35 -> L28 -> L4 -> L33 -> L18 -> L43 -> L21 -> L24 -> L26 -> L11 -> L5 -> L38 -> L2 -> L31 -> L44 -> L7 -> L42 -> L27 -> L13 -> L37 -> L29 -> L20 -> L3
3,99999.000000,99999.000000,99999.000000,99999.000000,L9 -> L32 -> L41 -> L1 -> L25 -> L6 -> L15 -> L5 -> L11 -> L38 -> L21 -> L24 -> L26 -> L31 -> L29 -> L37 -> L23 -> L22 -> L19 -> L14 -> L18 -> L43 -> L33 -> L8 -> L2 -> L44 -> L7 -> L39 -> L35 -> L40 -> L36 -> L28 -> L4 -> L20 -> L12 -> L30 -> L10 -> L27 -> L17 -> L13 -> L42 -> L34 -> L16 -> L3
4,99999.000000,99999.000000,99999.000000,99999.000000,L41 -> L6 -> L25 -> L1 -> L12 -> L30 -> L15 -> L19 -> L22 -> L8 -> L23 -> L21 -> L24 -> L26 -> L7 -> L44 -> L38 -> L2 -> L5 -> L11 -> L31 -> L18 -> L14 -> L43 -> L33 -> L9 -> L34 -> L32 -> L29 -> L27 -> L10 -> L17 -> L37 -> L42 -> L13 -> L16 -> L4 -> L39 -> L35 -> L28 -> L36 -> L40 -> L20 -> L3
5,99999.000000,99999.000000,99999.000000,99999.000000,L41 -> L1 -> L12 -> L6 -> L25 -> L32 -> L34 -> L9 -> L28 -> L36 -> L40 -> L39 -> L35 -> L20 -> L18 -> L14 -> L43 -> L33 -> L2 -> L38 -> L5 -> L11 -> L24 -> L21 -> L26 -> L7 -> L44 -> L31 -> L15 -> L23 -> L19 -> L22 -> L8 -> L30 -> L42 -> L13 -> L10 -> L17 -> L27 -> L29 -> L37 -> L16 -> L4 -> L3
6,99999.000000,99999.000000,99999.000000,99999.000000,L27 -> L10 -> L17 -> L32 -> L41 -> L34 -> L9 -> L1 -> L12 -> L38 -> L5 -> L11 -> L26 -> L21 -> L24 -> L44 -> L7 -> L35 -> L39 -> L36 -> L40 -> L14 -> L18 -> L33 -> L43 -> L8 -> L23 -> L30 -> L6 -> L25 -> L16 -> L29 -> L37 -> L22 -> L19 -> L2 -> L13 -> L42 -> L15 -> L28 -> L20 -> L4 -> L31 -> L3
7,99999.000000,99999.000000,99999.000000,99999.000000,L17 -> L27 -> L10 -> L42 -> L13 -> L29 -> L37 -> L15 -> L23 -> L19 -> L22 -> L8 -> L18 -> L33 -> L43 -> L16 -> L20 -> L36 -> L39 -> L35 -> L28 -> L4 -> L40 -> L2 -> L11 -> L5 -> L38 -> L1 -> L30 -> L12 -> L6 -> L9 -> L34 -> L32 -> L41 -> L25 -> L44 -> L7 -> L26 -> L24 -> L31 -> L21 -> L14 -> L3
8,99999.000000,99999.000000,99999.000000,99999.000000,L9 -> L32 -> L30 -> L6 -> L8 -> L22 -> L19 -> L23 -> L14 -> L18 -> L33 -> L43 -> L28 -> L35 -> L39 -> L36 -> L40 -> L37 -> L13 -> L27 -> L10 -> L17 -> L1 -> L34 -> L25 -> L12 -> L4 -> L15 -> L38 -> L5 -> L7 -> L44 -> L31 -> L26 -> L24 -> L11 -> L21 -> L2 -> L20 -> L29 -> L42 -> L16 -> L41 -> L3
9,99999.000000,99999.000000,99999.000000,99999.000000,L9 -> L34 -> L32 -> L41 -> L1 -> L12 -> L30 -> L15 -> L19 -> L22 -> L23 -> L18 -> L14 -> L43 -> L33 -> L8 -> L38 -> L5 -> L11 -> L26 -> L24 -> L21 -> L31 -> L44 -> L7 -> L2 -> L37 -> L29 -> L10 -> L17 -> L27 -> L13 -> L42 -> L16 -> L25 -> L6 -> L4 -> L39 -> L35 -> L40 -> L20 -> L28 -> L36 -> L3
10,99999.000000,99999.000000,99999.000000,99999.000000,L41 -> L25 -> L40 -> L35 -> L39 -> L28 -> L36 -> L20 -> L14 -> L18 -> L33 -> L43 -> L8 -> L23 -> L22 -> L19 -> L2 -> L5 -> L38 -> L11 -> L21 -> L24 -> L26 -> L31 -> L44 -> L7 -> L32 -> L34 -> L9 -> L1 -> L12 -> L6 -> L29 -> L37 -> L10 -> L27 -> L13 -> L17 -> L42 -> L30 -> L15 -> L4 -> L16 -> L3
