iteration,best_cost,worst_cost,average_cost,global_best_cost,best_tour
1,476.524016,5114.166982,1240.381090,476.524016,L18 -> L22 -> L20 -> L26 -> L4 -> L8 -> L27 -> L23 -> L32 -> L1 -> L34 -> L3 -> L25 -> L40 -> L19 -> L39 -> L5 -> L17 -> L16 -> L15 -> L36 -> L11 -> L21 -> L24 -> L37 -> L30 -> L38 -> L7 -> L28 -> L35 -> L12 -> L10 -> L33 -> L29 -> L31 -> L14 -> L2 -> L6 -> L9 -> L13
2,303.396290,2325.692088,1072.515075,303.396290,L11 -> L21 -> L24 -> L37 -> L15 -> L16 -> L17 -> L5 -> L30 -> L38 -> L7 -> L39 -> L40 -> L19 -> L28 -> L34 -> L3 -> L25 -> L35 -> L12 -> L10 -> L2 -> L14 -> L31 -> L33 -> L29 -> L6 -> L13 -> L9 -> L1 -> L32 -> L20 -> L22 -> L23 -> L27 -> L4 -> L8 -> L26 -> L18 -> L36
3,343.217931,6073.555913,1038.485210,303.396290,L11 -> L21 -> L37 -> L24 -> L15 -> L17 -> L16 -> L5 -> L30 -> L38 -> L7 -> L36 -> L18 -> L8 -> L4 -> L27 -> L23 -> L32 -> L1 -> L6 -> L13 -> L9 -> L31 -> L14 -> L2 -> L29 -> L33 -> L10 -> L35 -> L40 -> L19 -> L39 -> L28 -> L12 -> L25 -> L34 -> L3 -> L22 -> L20 -> L26
4,462.300893,2258.642514,1038.846112,303.396290,L11 -> L21 -> L37 -> L30 -> L38 -> L7 -> L25 -> L3 -> L34 -> L1 -> L27 -> L26 -> L8 -> L4 -> L23 -> L20 -> L22 -> L32 -> L6 -> L9 -> L13 -> L31 -> L14 -> L2 -> L29 -> L33 -> L10 -> L35 -> L12 -> L40 -> L19 -> L28 -> L39 -> L5 -> L17 -> L16 -> L15 -> L24 -> L18 -> L36
5,417.451683,2630.247610,995.912065,303.396290,L11 -> L21 -> L24 -> L37 -> L15 -> L16 -> L5 -> L17 -> L39 -> L28 -> L34 -> L3 -> L12 -> L10 -> L35 -> L40 -> L19 -> L30 -> L38 -> L7 -> L36 -> L18 -> L20 -> L22 -> L1 -> L6 -> L13 -> L9 -> L31 -> L2 -> L14 -> L33 -> L29 -> L25 -> L32 -> L23 -> L27 -> L4 -> L8 -> L26
6,381.640036,1160.133379,814.683391,303.396290,L20 -> L22 -> L34 -> L3 -> L25 -> L28 -> L38 -> L7 -> L36 -> L26 -> L8 -> L4 -> L27 -> L23 -> L32 -> L1 -> L9 -> L13 -> L6 -> L14 -> L31 -> L2 -> L29 -> L33 -> L10 -> L12 -> L35 -> L40 -> L19 -> L39 -> L30 -> L5 -> L17 -> L16 -> L15 -> L37 -> L24 -> L21 -> L11 -> L18
7,364.120699,1139.667349,792.658344,303.396290,L18 -> L36 -> L24 -> L37 -> L21 -> L11 -> L26 -> L8 -> L4 -> L27 -> L23 -> L20 -> L22 -> L32 -> L1 -> L9 -> L6 -> L13 -> L14 -> L2 -> L31 -> L29 -> L33 -> L10 -> L12 -> L35 -> L40 -> L19 -> L28 -> L25 -> L3 -> L34 -> L39 -> L5 -> L17 -> L16 -> L15 -> L38 -> L7 -> L30
8,398.301763,3437.677678,935.216747,303.396290,L11 -> L21 -> L15 -> L16 -> L17 -> L5 -> L30 -> L7 -> L38 -> L36 -> L20 -> L23 -> L22 -> L32 -> L27 -> L26 -> L8 -> L4 -> L1 -> L9 -> L13 -> L6 -> L14 -> L2 -> L31 -> L29 -> L33 -> L10 -> L12 -> L35 -> L40 -> L19 -> L39 -> L28 -> L25 -> L3 -> L34 -> L24 -> L37 -> L18
9,317.149783,1096.802973,790.845582,303.396290,L21 -> L24 -> L37 -> L16 -> L15 -> L38 -> L7 -> L36 -> L18 -> L11 -> L26 -> L8 -> L4 -> L27 -> L23 -> L20 -> L22 -> L32 -> L1 -> L6 -> L13 -> L9 -> L31 -> L14 -> L2 -> L29 -> L33 -> L10 -> L12 -> L3 -> L34 -> L25 -> L35 -> L40 -> L19 -> L39 -> L28 -> L17 -> L5 -> L30
10,329.721146,2696.572978,885.699506,303.396290,L11 -> L21 -> L24 -> L37 -> L15 -> L16 -> L17 -> L5 -> L30 -> L38 -> L7 -> L28 -> L39 -> L34 -> L3 -> L25 -> L35 -> L40 -> L19 -> L12 -> L10 -> L33 -> L29 -> L31 -> L14 -> L2 -> L6 -> L9 -> L13 -> L1 -> L32 -> L20 -> L22 -> L23 -> L27 -> L4 -> L8 -> L26 -> L36 -> L18
