iteration,best_cost,worst_cost,average_cost,global_best_cost,best_tour
1,141.254831,762.435497,397.178981,141.254831,L9 -> L8 -> L1 -> L11 -> L18 -> L15 -> L19 -> L20 -> L4 -> L22 -> L28 -> L7 -> L10 -> L25 -> L21 -> L5 -> L6 -> L14 -> L27 -> L23 -> L3 -> L12 -> L13 -> L17 -> L16 -> L26 -> L2 -> L24
2,151.907870,538.948380,342.285318,141.254831,L2 -> L24 -> L16 -> L26 -> L13 -> L12 -> L21 -> L10 -> L19 -> L5 -> L6 -> L25 -> L17 -> L27 -> L23 -> L14 -> L3 -> L20 -> L4 -> L22 -> L28 -> L7 -> L15 -> L18 -> L11 -> L1 -> L8 -> L9
3,148.553494,543.377023,349.293628,141.254831,L24 -> L2 -> L26 -> L16 -> L17 -> L13 -> L12 -> L6 -> L5 -> L27 -> L14 -> L23 -> L3 -> L20 -> L4 -> L22 -> L28 -> L7 -> L19 -> L10 -> L21 -> L25 -> L15 -> L18 -> L11 -> L1 -> L8 -> L9
4,172.085824,370.163182,316.147643,141.254831,L2 -> L24 -> L16 -> L26 -> L17 -> L6 -> L25 -> L5 -> L14 -> L27 -> L23 -> L3 -> L13 -> L12 -> L10 -> L21 -> L19 -> L20 -> L22 -> L4 -> L28 -> L7 -> L15 -> L18 -> L11 -> L1 -> L8 -> L9
5,153.726726,572.944623,363.158669,141.254831,L9 -> L1 -> L8 -> L18 -> L15 -> L11 -> L20 -> L22 -> L4 -> L28 -> L7 -> L19 -> L10 -> L21 -> L12 -> L25 -> L5 -> L6 -> L3 -> L23 -> L14 -> L27 -> L17 -> L13 -> L16 -> L26 -> L2 -> L24
6,154.048283,503.948000,358.023755,141.254831,L2 -> L24 -> L16 -> L26 -> L13 -> L17 -> L3 -> L23 -> L14 -> L27 -> L12 -> L21 -> L10 -> L19 -> L25 -> L6 -> L5 -> L20 -> L4 -> L22 -> L28 -> L7 -> L15 -> L18 -> L11 -> L1 -> L8 -> L9
7,158.004955,449.816599,328.619108,141.254831,L1 -> L11 -> L8 -> L9 -> L18 -> L15 -> L25 -> L5 -> L6 -> L17 -> L16 -> L26 -> L13 -> L12 -> L27 -> L14 -> L23 -> L3 -> L20 -> L4 -> L22 -> L28 -> L7 -> L19 -> L10 -> L21 -> L24 -> L2
8,174.927664,477.016034,301.598355,141.254831,L24 -> L26 -> L16 -> L17 -> L3 -> L14 -> L27 -> L23 -> L21 -> L25 -> L5 -> L6 -> L20 -> L4 -> L22 -> L28 -> L7 -> L19 -> L10 -> L12 -> L13 -> L2 -> L15 -> L18 -> L11 -> L1 -> L8 -> L9
9,151.681091,444.914021,321.299044,141.254831,L1 -> L11 -> L9 -> L8 -> L18 -> L15 -> L5 -> L20 -> L4 -> L22 -> L7 -> L28 -> L19 -> L10 -> L21 -> L25 -> L6 -> L3 -> L14 -> L27 -> L23 -> L12 -> L13 -> L17 -> L26 -> L16 -> L24 -> L2
10,152.665361,436.493688,325.543600,141.254831,L24 -> L2 -> L16 -> L26 -> L13 -> L12 -> L21 -> L17 -> L14 -> L27 -> L23 -> L3 -> L6 -> L25 -> L5 -> L20 -> L4 -> L22 -> L28 -> L7 -> L19 -> L10 -> L15 -> L18 -> L11 -> L1 -> L8 -> L9
