run_id,objective,total_time_h,total_distance_km,energy_consumed_kWh,energy_charged_static_kWh,energy_charged_dynamic_kWh,final_battery_kWh,final_battery_pct,packages_delivered,num_charging_stops,runtime_s,route
1,104.881296,6.3409,247.9500,36.2547,0.0000,6.1676,69.9129,69.9,24,0,93.95,D -> 1 -> L4 -> L24 -> L3 -> 14 -> L11 -> L10 -> L9 -> 18 -> L1 -> CS7 -> L12 -> 20 -> CS8 -> 11 -> CS10 -> L21 -> L6 -> L17 -> L18 -> 15 -> L7 -> 15 -> L19 -> 15 -> L5 -> L8 -> CS2 -> L13 -> L23 -> 19 -> 23 -> L15 -> CS5 -> 16 -> 12 -> L20 -> L16 -> CS8 -> L22 -> L2 -> L14 -> 21 -> CS4 -> L10 -> 2 -> D
2,98.624808,6.1892,243.0900,37.4160,0.0000,10.0504,72.6344,72.6,24,0,138.79,D -> 1 -> L4 -> L3 -> L24 -> L3 -> 14 -> L11 -> L10 -> L9 -> 18 -> L1 -> CS7 -> L12 -> 20 -> CS8 -> 11 -> CS10 -> L21 -> L6 -> L17 -> L18 -> L17 -> L19 -> 15 -> L7 -> L8 -> L5 -> CS2 -> L13 -> L23 -> 19 -> 23 -> L15 -> CS5 -> 16 -> 12 -> L20 -> L16 -> CS8 -> L22 -> L2 -> L14 -> 21 -> CS4 -> L10 -> 2 -> D
3,105.893178,6.3719,254.5500,39.1530,0.0000,10.4074,71.2544,71.3,24,0,128.06,D -> 1 -> L3 -> L4 -> L24 -> L3 -> 14 -> L11 -> L10 -> L9 -> 18 -> L1 -> CS7 -> L12 -> 20 -> CS8 -> 11 -> CS10 -> L21 -> L6 -> L17 -> L18 -> L17 -> L19 -> 15 -> L7 -> 15 -> L5 -> L8 -> CS2 -> L13 -> L23 -> 19 -> 23 -> L15 -> CS5 -> 16 -> 12 -> L20 -> L16 -> CS8 -> L22 -> L2 -> L14 -> 21 -> CS4 -> L10 -> 2 -> D
4,100.235057,6.2343,247.9000,39.1924,0.0000,12.5868,73.3944,73.4,24,0,186.17,D -> 1 -> L3 -> L4 -> L24 -> L3 -> 14 -> L11 -> L10 -> L9 -> 18 -> L1 -> CS7 -> L12 -> 20 -> CS8 -> 11 -> CS10 -> L21 -> L6 -> L17 -> L18 -> L17 -> L19 -> 15 -> L7 -> L8 -> L5 -> CS2 -> L13 -> L23 -> 19 -> 23 -> L15 -> CS5 -> 16 -> 12 -> L20 -> L16 -> CS8 -> L22 -> L2 -> L14 -> 21 -> CS4 -> L10 -> 2 -> D
5,97.971519,6.1633,241.2200,37.1610,0.0000,10.0504,72.8894,72.9,24,0,205.59,D -> 1 -> L4 -> L24 -> L3 -> 14 -> L11 -> L10 -> L9 -> 18 -> L1 -> CS7 -> L12 -> 20 -> CS8 -> 11 -> CS10 -> L21 -> L6 -> L17 -> L18 -> L17 -> L19 -> 15 -> L7 -> L8 -> L5 -> CS2 -> L13 -> L23 -> 19 -> 23 -> L15 -> CS5 -> 16 -> 12 -> L20 -> L16 -> CS8 -> L22 -> L2 -> L14 -> 21 -> CS4 -> L10 -> 2 -> D
6,97.971519,6.1633,241.2200,37.1610,0.0000,10.0504,72.8894,72.9,24,0,130.95,D -> 1 -> L4 -> L24 -> L3 -> 14 -> L11 -> L10 -> L9 -> 18 -> L1 -> CS7 -> L12 -> 20 -> CS8 -> 11 -> CS10 -> L21 -> L6 -> L17 -> L18 -> L17 -> L19 -> 15 -> L7 -> L8 -> L5 -> CS2 -> L13 -> L23 -> 19 -> 23 -> L15 -> CS5 -> 16 -> 12 -> L20 -> L16 -> CS8 -> L22 -> L2 -> L14 -> 21 -> CS4 -> L10 -> 2 -> D
7,97.955246,6.1633,241.2200,37.0823,0.0000,10.0504,72.9681,73.0,24,0,245.29,D -> 1 -> L4 -> L24 -> L3 -> 14 -> L11 -> L10 -> L9 -> 18 -> L1 -> CS7 -> L12 -> 20 -> CS8 -> 11 -> CS10 -> L21 -> L6 -> L17 -> L18 -> L17 -> L19 -> 15 -> L7 -> L8 -> L5 -> CS2 -> L13 -> L23 -> 19 -> 23 -> L15 -> CS5 -> 16 -> 12 -> L20 -> L16 -> CS8 -> L22 -> L2 -> L14 -> 21 -> CS4 -> L10 -> 2 -> D
8,105.465331,6.2548,247.6300,36.2151,0.0000,6.1676,69.9525,70.0,24,0,112.27,D -> 1 -> L4 -> L3 -> L24 -> L3 -> 14 -> L11 -> L10 -> L9 -> 18 -> L1 -> CS7 -> L12 -> 20 -> CS8 -> L16 -> CS10 -> L21 -> L6 -> L17 -> L18 -> 15 -> L7 -> 15 -> L19 -> 15 -> L5 -> L8 -> CS2 -> L13 -> L23 -> 19 -> 23 -> L15 -> CS5 -> 16 -> 12 -> L20 -> 11 -> CS8 -> L22 -> L2 -> L14 -> 21 -> CS4 -> L10 -> 2 -> D
9,108.903746,6.3416,246.3500,37.9540,0.0000,10.0504,72.0964,72.1,24,0,87.48,D -> 1 -> L4 -> L24 -> L3 -> 14 -> L11 -> L10 -> L9 -> 18 -> L1 -> CS7 -> L12 -> 20 -> CS8 -> 11 -> CS10 -> L21 -> L6 -> L17 -> L18 -> L17 -> L19 -> 15 -> L7 -> L8 -> L5 -> CS2 -> L13 -> L23 -> 19 -> 23 -> L15 -> CS5 -> 16 -> 12 -> L20 -> L16 -> CS8 -> L22 -> L2 -> L14 -> L2 -> L12 -> CS7 -> L9 -> L10 -> 2 -> D
10,97.971519,6.1633,241.2200,37.1610,0.0000,10.0504,72.8894,72.9,24,0,174.17,D -> 1 -> L4 -> L24 -> L3 -> 14 -> L11 -> L10 -> L9 -> 18 -> L1 -> CS7 -> L12 -> 20 -> CS8 -> 11 -> CS10 -> L21 -> L6 -> L17 -> L18 -> L17 -> L19 -> 15 -> L7 -> L8 -> L5 -> CS2 -> L13 -> L23 -> 19 -> 23 -> L15 -> CS5 -> 16 -> 12 -> L20 -> L16 -> CS8 -> L22 -> L2 -> L14 -> 21 -> CS4 -> L10 -> 2 -> D
