iteration,best_cost,worst_cost,average_cost,global_best_cost,best_tour
1,588.340920,6313.129103,1927.291081,588.340920,L21 -> L6 -> L16 -> L15 -> L38 -> L19 -> L22 -> L23 -> L2 -> L30 -> L28 -> L3 -> L40 -> L7 -> L4 -> L29 -> L17 -> L34 -> L18 -> L25 -> L31 -> L12 -> L32 -> L37 -> L36 -> L35 -> L10 -> L9 -> L14 -> L26 -> L24 -> L5 -> L27 -> L20 -> L1 -> L11 -> L33 -> L39 -> L8 -> L13
2,467.002199,14997.449471,2560.602564,467.002199,L27 -> L20 -> L11 -> L1 -> L26 -> L14 -> L5 -> L24 -> L6 -> L21 -> L16 -> L15 -> L38 -> L12 -> L31 -> L17 -> L34 -> L18 -> L22 -> L23 -> L3 -> L28 -> L2 -> L30 -> L40 -> L7 -> L29 -> L4 -> L19 -> L25 -> L33 -> L8 -> L39 -> L13 -> L32 -> L37 -> L36 -> L35 -> L10 -> L9
3,454.736618,4481.649878,1326.163775,454.736618,L27 -> L20 -> L11 -> L1 -> L14 -> L26 -> L24 -> L5 -> L6 -> L21 -> L16 -> L23 -> L40 -> L7 -> L29 -> L4 -> L28 -> L2 -> L30 -> L3 -> L17 -> L34 -> L25 -> L31 -> L18 -> L12 -> L19 -> L22 -> L38 -> L15 -> L33 -> L8 -> L39 -> L13 -> L32 -> L37 -> L36 -> L35 -> L9 -> L10
4,446.165403,9409.784425,2022.131317,446.165403,L27 -> L20 -> L11 -> L1 -> L14 -> L26 -> L24 -> L5 -> L6 -> L21 -> L9 -> L10 -> L32 -> L38 -> L12 -> L19 -> L23 -> L2 -> L30 -> L40 -> L28 -> L3 -> L7 -> L29 -> L4 -> L31 -> L17 -> L34 -> L25 -> L18 -> L22 -> L16 -> L15 -> L33 -> L39 -> L8 -> L13 -> L37 -> L36 -> L35
5,481.245529,13519.523048,2109.510374,446.165403,L10 -> L23 -> L3 -> L28 -> L2 -> L30 -> L40 -> L7 -> L29 -> L4 -> L17 -> L34 -> L18 -> L25 -> L31 -> L19 -> L12 -> L22 -> L38 -> L15 -> L16 -> L14 -> L11 -> L1 -> L26 -> L24 -> L5 -> L27 -> L20 -> L9 -> L21 -> L6 -> L32 -> L33 -> L39 -> L8 -> L13 -> L36 -> L35 -> L37
6,698.677702,7224.643028,1987.465820,446.165403,L9 -> L27 -> L20 -> L1 -> L26 -> L14 -> L6 -> L21 -> L10 -> L16 -> L38 -> L15 -> L12 -> L25 -> L40 -> L28 -> L3 -> L31 -> L18 -> L19 -> L22 -> L23 -> L2 -> L30 -> L7 -> L29 -> L4 -> L17 -> L34 -> L33 -> L8 -> L39 -> L13 -> L32 -> L36 -> L37 -> L35 -> L11 -> L5 -> L24
7,363.663423,10219.153895,1553.810198,363.663423,L10 -> L37 -> L35 -> L36 -> L32 -> L33 -> L39 -> L8 -> L13 -> L15 -> L38 -> L19 -> L25 -> L23 -> L3 -> L2 -> L30 -> L28 -> L40 -> L7 -> L29 -> L4 -> L31 -> L17 -> L34 -> L18 -> L12 -> L22 -> L16 -> L6 -> L21 -> L26 -> L14 -> L11 -> L1 -> L24 -> L5 -> L20 -> L27 -> L9
8,495.462364,7825.938582,1752.002284,363.663423,L9 -> L21 -> L6 -> L16 -> L15 -> L38 -> L12 -> L19 -> L28 -> L40 -> L3 -> L7 -> L29 -> L4 -> L18 -> L25 -> L31 -> L17 -> L34 -> L22 -> L23 -> L2 -> L30 -> L33 -> L8 -> L39 -> L13 -> L36 -> L37 -> L35 -> L10 -> L32 -> L14 -> L26 -> L11 -> L1 -> L24 -> L5 -> L20 -> L27
9,476.051769,4141.529513,1127.138754,363.663423,L27 -> L9 -> L21 -> L6 -> L16 -> L38 -> L15 -> L12 -> L19 -> L22 -> L23 -> L2 -> L30 -> L28 -> L3 -> L7 -> L29 -> L4 -> L40 -> L31 -> L18 -> L25 -> L17 -> L34 -> L33 -> L39 -> L8 -> L13 -> L36 -> L35 -> L37 -> L10 -> L32 -> L26 -> L11 -> L14 -> L1 -> L5 -> L24 -> L20
10,388.208862,1329.800800,987.783269,363.663423,L10 -> L35 -> L36 -> L37 -> L32 -> L33 -> L39 -> L8 -> L13 -> L15 -> L38 -> L12 -> L22 -> L23 -> L28 -> L2 -> L30 -> L3 -> L7 -> L29 -> L4 -> L40 -> L31 -> L17 -> L34 -> L18 -> L19 -> L25 -> L16 -> L21 -> L6 -> L26 -> L14 -> L11 -> L1 -> L5 -> L24 -> L20 -> L27 -> L9
