iteration,best_cost,worst_cost,average_cost,global_best_cost,best_tour
1,219.378265,1018.865764,602.941129,219.378265,L22 -> L20 -> L6 -> L3 -> L24 -> L8 -> L14 -> L4 -> L28 -> L25 -> L1 -> L30 -> L17 -> L29 -> L32 -> L13 -> L11 -> L15 -> L19 -> L7 -> L2 -> L23 -> L12 -> L5 -> L9 -> L18 -> L10 -> L26 -> L16 -> L27 -> L31 -> L21
2,240.179316,748.627798,574.434511,219.378265,L22 -> L20 -> L3 -> L6 -> L24 -> L8 -> L14 -> L4 -> L1 -> L28 -> L25 -> L30 -> L17 -> L29 -> L11 -> L32 -> L13 -> L15 -> L19 -> L7 -> L2 -> L12 -> L23 -> L9 -> L5 -> L18 -> L26 -> L10 -> L16 -> L31 -> L27 -> L21
3,239.220786,963.602786,552.943478,219.378265,L14 -> L8 -> L6 -> L3 -> L24 -> L20 -> L22 -> L28 -> L25 -> L1 -> L30 -> L17 -> L29 -> L32 -> L11 -> L13 -> L15 -> L7 -> L19 -> L2 -> L23 -> L12 -> L5 -> L9 -> L18 -> L10 -> L26 -> L16 -> L31 -> L27 -> L21 -> L4
4,290.277632,905.387002,573.187327,219.378265,L20 -> L6 -> L3 -> L24 -> L22 -> L8 -> L14 -> L4 -> L28 -> L1 -> L25 -> L30 -> L32 -> L29 -> L15 -> L11 -> L13 -> L2 -> L19 -> L7 -> L12 -> L23 -> L9 -> L5 -> L18 -> L10 -> L26 -> L16 -> L31 -> L27 -> L21 -> L17
5,256.224680,804.400155,560.256873,219.378265,L28 -> L1 -> L25 -> L30 -> L17 -> L29 -> L32 -> L13 -> L11 -> L15 -> L7 -> L19 -> L2 -> L12 -> L23 -> L9 -> L5 -> L18 -> L10 -> L26 -> L16 -> L31 -> L27 -> L21 -> L3 -> L24 -> L6 -> L20 -> L22 -> L8 -> L4 -> L14
6,229.043230,761.416657,540.837193,219.378265,L24 -> L20 -> L3 -> L6 -> L22 -> L8 -> L14 -> L4 -> L28 -> L25 -> L1 -> L30 -> L17 -> L29 -> L11 -> L32 -> L13 -> L15 -> L19 -> L7 -> L2 -> L12 -> L23 -> L9 -> L5 -> L18 -> L10 -> L26 -> L16 -> L31 -> L27 -> L21
7,270.124918,873.778433,581.717168,219.378265,L6 -> L3 -> L24 -> L20 -> L22 -> L8 -> L14 -> L4 -> L28 -> L1 -> L25 -> L30 -> L29 -> L17 -> L11 -> L15 -> L19 -> L7 -> L32 -> L13 -> L2 -> L12 -> L23 -> L9 -> L5 -> L18 -> L26 -> L10 -> L16 -> L31 -> L27 -> L21
8,219.777312,784.339948,557.545153,219.378265,L6 -> L3 -> L24 -> L20 -> L22 -> L8 -> L14 -> L4 -> L28 -> L25 -> L1 -> L30 -> L17 -> L29 -> L11 -> L32 -> L13 -> L15 -> L19 -> L2 -> L7 -> L12 -> L23 -> L5 -> L9 -> L18 -> L10 -> L26 -> L16 -> L31 -> L27 -> L21
9,226.799482,934.951786,546.595839,219.378265,L6 -> L3 -> L24 -> L20 -> L22 -> L8 -> L14 -> L4 -> L28 -> L25 -> L1 -> L30 -> L17 -> L29 -> L32 -> L11 -> L13 -> L15 -> L7 -> L19 -> L2 -> L12 -> L23 -> L9 -> L5 -> L18 -> L10 -> L26 -> L16 -> L31 -> L27 -> L21
10,248.891309,826.254202,521.871843,219.378265,L6 -> L3 -> L24 -> L20 -> L22 -> L8 -> L14 -> L4 -> L28 -> L25 -> L1 -> L30 -> L17 -> L21 -> L31 -> L27 -> L26 -> L10 -> L16 -> L18 -> L9 -> L5 -> L12 -> L2 -> L23 -> L19 -> L7 -> L15 -> L13 -> L32 -> L11 -> L29
