iteration,best_cost,worst_cost,average_cost,global_best_cost,best_tour
1,146.501387,444.189544,300.422438,146.501387,L3 -> L4 -> L24 -> L11 -> L1 -> L6 -> L21 -> L17 -> L18 -> L19 -> L7 -> L5 -> L8 -> L15 -> L13 -> L23 -> L16 -> L20 -> L22 -> L14 -> L2 -> L12 -> L9 -> L10
2,119.388196,369.156702,278.075928,119.388196,L3 -> L4 -> L24 -> L11 -> L1 -> L6 -> L21 -> L17 -> L18 -> L19 -> L7 -> L8 -> L5 -> L13 -> L23 -> L15 -> L20 -> L16 -> L22 -> L14 -> L2 -> L12 -> L9 -> L10
3,134.400682,382.335815,252.461425,119.388196,L4 -> L24 -> L3 -> L11 -> L10 -> L9 -> L1 -> L12 -> L2 -> L22 -> L20 -> L16 -> L6 -> L21 -> L18 -> L17 -> L19 -> L7 -> L8 -> L5 -> L15 -> L13 -> L23 -> L14
4,114.626767,587.685865,322.135926,114.626767,L4 -> L3 -> L24 -> L10 -> L9 -> L1 -> L12 -> L21 -> L6 -> L18 -> L17 -> L7 -> L19 -> L5 -> L8 -> L13 -> L23 -> L15 -> L20 -> L16 -> L22 -> L2 -> L14 -> L11
5,109.984328,513.244785,320.139739,109.984328,L4 -> L3 -> L24 -> L11 -> L9 -> L1 -> L12 -> L21 -> L6 -> L17 -> L18 -> L19 -> L7 -> L8 -> L5 -> L13 -> L23 -> L15 -> L20 -> L16 -> L2 -> L22 -> L14 -> L10
6,148.521847,541.627690,293.580420,109.984328,L11 -> L10 -> L9 -> L2 -> L14 -> L22 -> L16 -> L21 -> L6 -> L17 -> L19 -> L18 -> L7 -> L8 -> L5 -> L13 -> L23 -> L20 -> L15 -> L12 -> L1 -> L3 -> L24 -> L4
7,120.074067,472.794030,274.876032,109.984328,L10 -> L1 -> L9 -> L12 -> L16 -> L21 -> L6 -> L17 -> L18 -> L19 -> L7 -> L8 -> L5 -> L13 -> L23 -> L15 -> L20 -> L22 -> L2 -> L14 -> L11 -> L24 -> L3 -> L4
8,151.095062,381.923027,252.887625,109.984328,L1 -> L19 -> L7 -> L13 -> L23 -> L15 -> L8 -> L5 -> L18 -> L17 -> L6 -> L21 -> L20 -> L16 -> L2 -> L22 -> L14 -> L12 -> L9 -> L10 -> L11 -> L3 -> L24 -> L4
9,148.094845,387.206681,282.033640,109.984328,L4 -> L3 -> L24 -> L11 -> L10 -> L14 -> L15 -> L8 -> L5 -> L19 -> L18 -> L17 -> L21 -> L6 -> L7 -> L13 -> L23 -> L20 -> L16 -> L22 -> L2 -> L12 -> L9 -> L1
10,111.933074,439.113854,280.879752,109.984328,L4 -> L24 -> L3 -> L11 -> L14 -> L2 -> L22 -> L21 -> L6 -> L18 -> L17 -> L19 -> L7 -> L8 -> L5 -> L13 -> L23 -> L15 -> L20 -> L16 -> L12 -> L9 -> L1 -> L10
