iteration,best_cost,worst_cost,average_cost,global_best_cost,best_tour
1,426.359445,18023.940206,2870.510097,426.359445,L23 -> L2 -> L30 -> L28 -> L3 -> L7 -> L29 -> L4 -> L40 -> L17 -> L34 -> L18 -> L25 -> L31 -> L19 -> L12 -> L22 -> L38 -> L16 -> L15 -> L33 -> L8 -> L39 -> L13 -> L32 -> L36 -> L37 -> L35 -> L10 -> L9 -> L21 -> L6 -> L14 -> L11 -> L1 -> L26 -> L5 -> L24 -> L20 -> L27
2,427.785425,3693.330248,1412.001317,426.359445,L16 -> L38 -> L12 -> L19 -> L22 -> L3 -> L7 -> L29 -> L4 -> L23 -> L2 -> L30 -> L28 -> L40 -> L31 -> L17 -> L34 -> L25 -> L18 -> L15 -> L33 -> L39 -> L8 -> L13 -> L32 -> L6 -> L21 -> L14 -> L26 -> L11 -> L1 -> L24 -> L5 -> L27 -> L20 -> L9 -> L37 -> L36 -> L35 -> L10
3,527.115057,9371.972082,1875.490651,426.359445,L35 -> L36 -> L37 -> L38 -> L12 -> L23 -> L2 -> L30 -> L28 -> L40 -> L3 -> L7 -> L29 -> L4 -> L17 -> L34 -> L25 -> L31 -> L18 -> L19 -> L22 -> L15 -> L16 -> L6 -> L21 -> L9 -> L26 -> L14 -> L1 -> L24 -> L5 -> L27 -> L20 -> L11 -> L33 -> L8 -> L39 -> L13 -> L32 -> L10
4,465.247269,13551.054511,2616.361823,426.359445,L9 -> L21 -> L6 -> L16 -> L15 -> L38 -> L12 -> L25 -> L18 -> L31 -> L17 -> L34 -> L19 -> L22 -> L40 -> L28 -> L3 -> L4 -> L23 -> L2 -> L30 -> L7 -> L29 -> L33 -> L8 -> L39 -> L13 -> L36 -> L37 -> L35 -> L10 -> L32 -> L26 -> L14 -> L11 -> L1 -> L24 -> L5 -> L20 -> L27
5,498.733199,24702.735615,2825.355906,426.359445,L9 -> L21 -> L33 -> L39 -> L8 -> L13 -> L25 -> L31 -> L17 -> L34 -> L18 -> L19 -> L12 -> L22 -> L23 -> L3 -> L4 -> L7 -> L29 -> L40 -> L28 -> L2 -> L30 -> L38 -> L15 -> L36 -> L37 -> L35 -> L32 -> L16 -> L6 -> L26 -> L14 -> L11 -> L1 -> L24 -> L5 -> L20 -> L27 -> L10
6,391.332607,5044.826851,1306.510273,391.332607,L37 -> L35 -> L36 -> L22 -> L2 -> L23 -> L40 -> L28 -> L30 -> L3 -> L7 -> L29 -> L4 -> L31 -> L17 -> L34 -> L18 -> L25 -> L19 -> L12 -> L38 -> L15 -> L16 -> L33 -> L39 -> L8 -> L13 -> L32 -> L6 -> L21 -> L26 -> L14 -> L11 -> L1 -> L24 -> L5 -> L20 -> L27 -> L9 -> L10
7,412.905069,16090.595735,1891.281744,391.332607,L14 -> L11 -> L1 -> L26 -> L24 -> L5 -> L20 -> L27 -> L9 -> L6 -> L21 -> L12 -> L25 -> L23 -> L2 -> L30 -> L40 -> L28 -> L3 -> L7 -> L29 -> L4 -> L31 -> L17 -> L34 -> L18 -> L19 -> L22 -> L38 -> L16 -> L15 -> L33 -> L39 -> L8 -> L13 -> L32 -> L36 -> L35 -> L37 -> L10
8,518.565578,5883.754635,1337.837860,391.332607,L9 -> L6 -> L21 -> L26 -> L14 -> L1 -> L5 -> L24 -> L27 -> L20 -> L11 -> L28 -> L40 -> L30 -> L3 -> L4 -> L7 -> L29 -> L2 -> L23 -> L17 -> L34 -> L18 -> L25 -> L31 -> L12 -> L19 -> L22 -> L38 -> L15 -> L16 -> L33 -> L39 -> L8 -> L13 -> L32 -> L36 -> L37 -> L35 -> L10
9,560.009737,2427.832608,1164.946729,391.332607,L10 -> L35 -> L37 -> L36 -> L32 -> L15 -> L38 -> L16 -> L6 -> L5 -> L24 -> L27 -> L20 -> L11 -> L1 -> L14 -> L26 -> L21 -> L9 -> L12 -> L19 -> L22 -> L23 -> L2 -> L28 -> L30 -> L3 -> L7 -> L29 -> L4 -> L40 -> L17 -> L34 -> L25 -> L31 -> L18 -> L33 -> L39 -> L8 -> L13
10,479.303231,12020.200216,1728.027762,391.332607,L10 -> L9 -> L27 -> L20 -> L11 -> L1 -> L14 -> L26 -> L24 -> L5 -> L6 -> L21 -> L12 -> L19 -> L22 -> L40 -> L4 -> L23 -> L2 -> L30 -> L28 -> L3 -> L7 -> L29 -> L18 -> L25 -> L31 -> L17 -> L34 -> L38 -> L16 -> L15 -> L33 -> L39 -> L8 -> L13 -> L32 -> L37 -> L36 -> L35
11,458.994699,10162.829612,1609.390146,391.332607,L9 -> L26 -> L24 -> L5 -> L20 -> L27 -> L11 -> L1 -> L14 -> L21 -> L6 -> L2 -> L23 -> L30 -> L28 -> L3 -> L4 -> L7 -> L29 -> L40 -> L31 -> L17 -> L34 -> L22 -> L12 -> L25 -> L18 -> L19 -> L38 -> L15 -> L16 -> L33 -> L8 -> L39 -> L13 -> L32 -> L36 -> L37 -> L35 -> L10
12,494.613135,3660.113579,1235.344911,391.332607,L27 -> L20 -> L11 -> L14 -> L1 -> L24 -> L26 -> L5 -> L6 -> L21 -> L9 -> L10 -> L32 -> L16 -> L38 -> L15 -> L12 -> L19 -> L22 -> L23 -> L2 -> L30 -> L28 -> L3 -> L40 -> L7 -> L29 -> L4 -> L17 -> L34 -> L18 -> L25 -> L31 -> L33 -> L8 -> L39 -> L13 -> L37 -> L36 -> L35
13,499.714517,2945.086401,1205.695258,391.332607,L10 -> L23 -> L3 -> L28 -> L2 -> L30 -> L40 -> L7 -> L29 -> L4 -> L31 -> L18 -> L25 -> L17 -> L34 -> L19 -> L12 -> L22 -> L38 -> L15 -> L16 -> L33 -> L8 -> L39 -> L13 -> L35 -> L36 -> L37 -> L32 -> L6 -> L26 -> L14 -> L1 -> L11 -> L5 -> L24 -> L20 -> L27 -> L9 -> L21
14,400.158517,3000.863434,1006.778911,391.332607,L10 -> L35 -> L36 -> L37 -> L32 -> L22 -> L2 -> L23 -> L28 -> L30 -> L3 -> L40 -> L4 -> L7 -> L29 -> L17 -> L34 -> L18 -> L25 -> L31 -> L19 -> L12 -> L38 -> L33 -> L39 -> L8 -> L13 -> L15 -> L16 -> L21 -> L6 -> L26 -> L14 -> L1 -> L11 -> L5 -> L24 -> L20 -> L27 -> L9
15,457.712345,24174.709205,2762.204098,391.332607,L10 -> L35 -> L37 -> L36 -> L32 -> L16 -> L33 -> L39 -> L8 -> L13 -> L15 -> L38 -> L12 -> L22 -> L23 -> L40 -> L28 -> L2 -> L30 -> L3 -> L7 -> L29 -> L4 -> L31 -> L17 -> L34 -> L18 -> L25 -> L19 -> L26 -> L14 -> L1 -> L11 -> L5 -> L24 -> L20 -> L27 -> L6 -> L21 -> L9
16,470.370132,10275.433818,2143.232546,391.332607,L33 -> L39 -> L8 -> L13 -> L19 -> L12 -> L22 -> L3 -> L7 -> L29 -> L4 -> L2 -> L23 -> L30 -> L28 -> L40 -> L31 -> L17 -> L34 -> L18 -> L25 -> L38 -> L15 -> L16 -> L32 -> L36 -> L37 -> L35 -> L10 -> L9 -> L21 -> L6 -> L26 -> L11 -> L14 -> L1 -> L24 -> L5 -> L20 -> L27
17,468.678326,2776.655409,1062.029156,391.332607,L21 -> L6 -> L14 -> L26 -> L11 -> L1 -> L24 -> L5 -> L20 -> L27 -> L9 -> L10 -> L35 -> L37 -> L36 -> L32 -> L16 -> L15 -> L38 -> L12 -> L22 -> L23 -> L28 -> L2 -> L30 -> L3 -> L4 -> L7 -> L29 -> L40 -> L17 -> L34 -> L18 -> L25 -> L31 -> L19 -> L33 -> L39 -> L8 -> L13
18,419.549927,1266.578195,1006.276439,391.332607,L20 -> L11 -> L1 -> L26 -> L14 -> L24 -> L5 -> L27 -> L9 -> L21 -> L6 -> L16 -> L15 -> L38 -> L25 -> L23 -> L28 -> L40 -> L2 -> L30 -> L3 -> L7 -> L29 -> L4 -> L18 -> L31 -> L17 -> L34 -> L19 -> L22 -> L12 -> L33 -> L8 -> L39 -> L13 -> L32 -> L36 -> L35 -> L37 -> L10
19,630.822406,6071.773603,1328.358371,391.332607,L6 -> L5 -> L20 -> L27 -> L21 -> L9 -> L10 -> L35 -> L36 -> L37 -> L32 -> L16 -> L15 -> L38 -> L12 -> L19 -> L25 -> L18 -> L31 -> L23 -> L2 -> L40 -> L28 -> L3 -> L7 -> L29 -> L4 -> L17 -> L34 -> L22 -> L30 -> L33 -> L39 -> L8 -> L13 -> L26 -> L14 -> L1 -> L11 -> L24
20,381.439337,4955.437977,1317.906097,381.439337,L9 -> L27 -> L20 -> L11 -> L1 -> L26 -> L14 -> L5 -> L24 -> L6 -> L21 -> L16 -> L23 -> L2 -> L30 -> L40 -> L28 -> L3 -> L7 -> L29 -> L4 -> L18 -> L25 -> L31 -> L17 -> L34 -> L19 -> L22 -> L12 -> L38 -> L15 -> L33 -> L8 -> L39 -> L13 -> L32 -> L36 -> L37 -> L35 -> L10
21,455.849322,2958.149240,1087.353226,381.439337,L20 -> L27 -> L9 -> L10 -> L35 -> L36 -> L37 -> L32 -> L15 -> L38 -> L12 -> L19 -> L22 -> L23 -> L3 -> L40 -> L28 -> L2 -> L30 -> L4 -> L7 -> L29 -> L31 -> L17 -> L34 -> L25 -> L18 -> L33 -> L39 -> L8 -> L13 -> L16 -> L6 -> L21 -> L26 -> L14 -> L11 -> L1 -> L24 -> L5
22,433.066046,3672.921835,1176.888877,381.439337,L21 -> L26 -> L14 -> L1 -> L11 -> L24 -> L5 -> L20 -> L27 -> L6 -> L2 -> L23 -> L30 -> L28 -> L3 -> L4 -> L7 -> L29 -> L40 -> L17 -> L34 -> L18 -> L25 -> L31 -> L19 -> L22 -> L12 -> L38 -> L16 -> L15 -> L33 -> L39 -> L8 -> L13 -> L32 -> L36 -> L35 -> L37 -> L10 -> L9
23,434.746235,7627.602810,1495.380525,381.439337,L32 -> L15 -> L38 -> L19 -> L12 -> L22 -> L23 -> L2 -> L30 -> L40 -> L28 -> L3 -> L7 -> L29 -> L4 -> L17 -> L34 -> L18 -> L25 -> L31 -> L16 -> L33 -> L8 -> L39 -> L13 -> L36 -> L37 -> L35 -> L10 -> L9 -> L21 -> L6 -> L26 -> L14 -> L1 -> L11 -> L24 -> L5 -> L20 -> L27
24,436.730602,5734.457175,1277.025698,381.439337,L9 -> L14 -> L11 -> L1 -> L26 -> L24 -> L5 -> L20 -> L27 -> L21 -> L6 -> L23 -> L40 -> L7 -> L29 -> L4 -> L28 -> L2 -> L30 -> L3 -> L17 -> L34 -> L25 -> L31 -> L18 -> L19 -> L22 -> L12 -> L38 -> L16 -> L15 -> L33 -> L8 -> L39 -> L13 -> L32 -> L36 -> L37 -> L35 -> L10
25,493.055547,1663.654351,949.300390,381.439337,L9 -> L21 -> L6 -> L26 -> L14 -> L11 -> L1 -> L24 -> L5 -> L20 -> L27 -> L10 -> L35 -> L36 -> L37 -> L32 -> L15 -> L16 -> L38 -> L19 -> L22 -> L12 -> L23 -> L3 -> L2 -> L30 -> L28 -> L40 -> L7 -> L29 -> L4 -> L17 -> L34 -> L18 -> L25 -> L31 -> L33 -> L39 -> L8 -> L13
26,639.119695,18654.801822,1907.236819,381.439337,L26 -> L14 -> L1 -> L24 -> L5 -> L27 -> L21 -> L6 -> L9 -> L10 -> L35 -> L36 -> L37 -> L15 -> L38 -> L12 -> L19 -> L22 -> L23 -> L28 -> L40 -> L4 -> L7 -> L29 -> L31 -> L18 -> L25 -> L34 -> L17 -> L2 -> L30 -> L3 -> L32 -> L33 -> L8 -> L39 -> L13 -> L16 -> L11 -> L20
