iteration,best_cost,worst_cost,average_cost,global_best_cost,best_tour
1,99999.000000,99999.000000,99999.000000,99999.000000,L9 -> L48 -> L22 -> L38 -> L36 -> L13 -> L20 -> L24 -> L31 -> L34 -> L15 -> L17 -> L12 -> L1 -> L27 -> L19 -> L39 -> L6 -> L29 -> L4 -> L10 -> L42 -> L32 -> L40 -> L47 -> L51 -> L18 -> L25 -> L3 -> L23 -> L52 -> L28 -> L33 -> L8 -> L14 -> L44 -> L7 -> L5 -> L11 -> L37 -> L2 -> L46 -> L16 -> L49 -> L21 -> L45 -> L30 -> L35 -> L26 -> L41 -> L50 -> L43
2,99999.000000,99999.000000,99999.000000,99999.000000,L27 -> L19 -> L39 -> L4 -> L42 -> L32 -> L47 -> L9 -> L43 -> L28 -> L33 -> L8 -> L24 -> L20 -> L14 -> L38 -> L22 -> L13 -> L36 -> L7 -> L41 -> L26 -> L5 -> L11 -> L2 -> L37 -> L35 -> L46 -> L21 -> L16 -> L49 -> L30 -> L45 -> L52 -> L23 -> L12 -> L17 -> L25 -> L3 -> L1 -> L34 -> L31 -> L15 -> L29 -> L6 -> L10 -> L40 -> L51 -> L50 -> L48 -> L18 -> L44
3,99999.000000,99999.000000,99999.000000,99999.000000,L19 -> L27 -> L10 -> L42 -> L4 -> L9 -> L48 -> L50 -> L44 -> L14 -> L13 -> L22 -> L38 -> L36 -> L28 -> L33 -> L8 -> L52 -> L25 -> L3 -> L15 -> L31 -> L12 -> L1 -> L34 -> L18 -> L39 -> L6 -> L29 -> L47 -> L40 -> L32 -> L51 -> L23 -> L5 -> L17 -> L24 -> L20 -> L7 -> L49 -> L16 -> L46 -> L21 -> L35 -> L45 -> L30 -> L26 -> L41 -> L11 -> L2 -> L37 -> L43
4,99999.000000,99999.000000,99999.000000,99999.000000,L9 -> L43 -> L4 -> L6 -> L29 -> L18 -> L48 -> L25 -> L1 -> L12 -> L17 -> L31 -> L15 -> L34 -> L3 -> L8 -> L28 -> L36 -> L44 -> L14 -> L13 -> L38 -> L22 -> L33 -> L30 -> L45 -> L35 -> L49 -> L16 -> L46 -> L21 -> L20 -> L24 -> L7 -> L5 -> L11 -> L2 -> L37 -> L41 -> L26 -> L23 -> L39 -> L27 -> L19 -> L42 -> L10 -> L32 -> L51 -> L40 -> L47 -> L50 -> L52
5,99999.000000,99999.000000,99999.000000,99999.000000,L9 -> L43 -> L12 -> L1 -> L31 -> L15 -> L17 -> L6 -> L29 -> L42 -> L19 -> L27 -> L10 -> L47 -> L40 -> L51 -> L32 -> L4 -> L39 -> L23 -> L52 -> L8 -> L28 -> L33 -> L36 -> L38 -> L22 -> L13 -> L14 -> L44 -> L7 -> L24 -> L20 -> L37 -> L2 -> L5 -> L11 -> L26 -> L41 -> L18 -> L34 -> L48 -> L3 -> L25 -> L16 -> L49 -> L45 -> L35 -> L30 -> L21 -> L46 -> L50
6,99999.000000,99999.000000,99999.000000,99999.000000,L39 -> L4 -> L42 -> L32 -> L43 -> L17 -> L12 -> L1 -> L31 -> L34 -> L25 -> L3 -> L5 -> L11 -> L37 -> L2 -> L7 -> L24 -> L20 -> L49 -> L16 -> L46 -> L21 -> L45 -> L30 -> L22 -> L38 -> L13 -> L14 -> L44 -> L28 -> L33 -> L36 -> L18 -> L48 -> L50 -> L9 -> L19 -> L27 -> L10 -> L6 -> L29 -> L52 -> L8 -> L26 -> L41 -> L23 -> L15 -> L47 -> L40 -> L51 -> L35
7,99999.000000,99999.000000,99999.000000,99999.000000,L9 -> L43 -> L35 -> L16 -> L46 -> L11 -> L5 -> L2 -> L7 -> L24 -> L20 -> L19 -> L40 -> L47 -> L27 -> L10 -> L42 -> L31 -> L18 -> L34 -> L25 -> L3 -> L52 -> L15 -> L12 -> L1 -> L13 -> L22 -> L28 -> L33 -> L38 -> L8 -> L36 -> L44 -> L14 -> L23 -> L17 -> L39 -> L29 -> L6 -> L4 -> L51 -> L32 -> L48 -> L50 -> L30 -> L45 -> L49 -> L26 -> L41 -> L37 -> L21
8,99999.000000,99999.000000,99999.000000,99999.000000,L39 -> L4 -> L43 -> L2 -> L5 -> L7 -> L44 -> L14 -> L13 -> L22 -> L38 -> L36 -> L28 -> L33 -> L3 -> L25 -> L34 -> L48 -> L9 -> L19 -> L27 -> L42 -> L51 -> L40 -> L47 -> L10 -> L32 -> L6 -> L29 -> L17 -> L1 -> L31 -> L15 -> L12 -> L18 -> L50 -> L49 -> L46 -> L21 -> L35 -> L45 -> L30 -> L16 -> L37 -> L11 -> L41 -> L26 -> L20 -> L24 -> L23 -> L52 -> L8
9,99999.000000,99999.000000,99999.000000,99999.000000,L43 -> L6 -> L29 -> L17 -> L23 -> L1 -> L15 -> L12 -> L39 -> L27 -> L19 -> L42 -> L4 -> L10 -> L9 -> L48 -> L50 -> L18 -> L28 -> L33 -> L36 -> L38 -> L22 -> L13 -> L14 -> L7 -> L24 -> L20 -> L37 -> L2 -> L5 -> L11 -> L41 -> L26 -> L44 -> L30 -> L45 -> L35 -> L46 -> L16 -> L49 -> L21 -> L3 -> L34 -> L31 -> L25 -> L52 -> L8 -> L40 -> L47 -> L32 -> L51
10,99999.000000,99999.000000,99999.000000,99999.000000,L19 -> L27 -> L10 -> L42 -> L39 -> L4 -> L29 -> L6 -> L12 -> L13 -> L24 -> L20 -> L7 -> L14 -> L44 -> L38 -> L22 -> L36 -> L50 -> L9 -> L43 -> L34 -> L23 -> L52 -> L3 -> L25 -> L1 -> L31 -> L15 -> L18 -> L48 -> L17 -> L5 -> L11 -> L2 -> L37 -> L16 -> L49 -> L46 -> L45 -> L35 -> L30 -> L21 -> L41 -> L26 -> L32 -> L51 -> L47 -> L40 -> L33 -> L28 -> L8
