iteration,best_cost,worst_cost,average_cost,global_best_cost,best_tour
1,159.806350,608.298220,355.705463,159.806350,L9 -> L8 -> L1 -> L11 -> L24 -> L2 -> L26 -> L16 -> L13 -> L12 -> L17 -> L27 -> L14 -> L23 -> L3 -> L6 -> L25 -> L21 -> L19 -> L10 -> L5 -> L20 -> L4 -> L22 -> L7 -> L28 -> L15 -> L18
2,162.985002,687.458526,379.356357,159.806350,L9 -> L8 -> L1 -> L18 -> L15 -> L11 -> L5 -> L20 -> L4 -> L22 -> L28 -> L7 -> L10 -> L19 -> L25 -> L21 -> L12 -> L13 -> L14 -> L27 -> L23 -> L3 -> L6 -> L17 -> L16 -> L26 -> L2 -> L24
3,171.544869,523.879176,339.455655,159.806350,L18 -> L15 -> L11 -> L1 -> L20 -> L4 -> L22 -> L7 -> L28 -> L19 -> L10 -> L21 -> L25 -> L5 -> L6 -> L3 -> L23 -> L14 -> L27 -> L12 -> L13 -> L17 -> L16 -> L26 -> L2 -> L24 -> L8 -> L9
4,155.497358,608.774766,358.062344,155.497358,L2 -> L24 -> L13 -> L12 -> L14 -> L27 -> L23 -> L3 -> L20 -> L5 -> L4 -> L22 -> L28 -> L7 -> L19 -> L10 -> L21 -> L25 -> L6 -> L17 -> L16 -> L26 -> L9 -> L8 -> L1 -> L11 -> L15 -> L18
5,142.918704,525.420174,364.336254,142.918704,L24 -> L2 -> L26 -> L16 -> L13 -> L17 -> L3 -> L14 -> L23 -> L27 -> L12 -> L25 -> L6 -> L5 -> L20 -> L4 -> L22 -> L28 -> L7 -> L19 -> L21 -> L10 -> L18 -> L15 -> L11 -> L1 -> L8 -> L9
6,132.159123,504.442955,336.487199,132.159123,L2 -> L24 -> L26 -> L16 -> L13 -> L12 -> L17 -> L14 -> L27 -> L23 -> L3 -> L6 -> L25 -> L5 -> L20 -> L4 -> L22 -> L7 -> L28 -> L19 -> L10 -> L21 -> L18 -> L15 -> L11 -> L1 -> L8 -> L9
7,166.825388,477.505597,336.256825,132.159123,L9 -> L8 -> L1 -> L11 -> L18 -> L15 -> L19 -> L4 -> L22 -> L28 -> L7 -> L10 -> L21 -> L12 -> L13 -> L27 -> L14 -> L23 -> L3 -> L6 -> L25 -> L5 -> L20 -> L17 -> L16 -> L26 -> L2 -> L24
8,155.684304,474.498105,308.942616,132.159123,L18 -> L15 -> L11 -> L8 -> L9 -> L1 -> L2 -> L24 -> L13 -> L5 -> L20 -> L4 -> L22 -> L28 -> L7 -> L19 -> L10 -> L21 -> L25 -> L6 -> L3 -> L14 -> L23 -> L27 -> L12 -> L17 -> L26 -> L16
9,144.586433,459.447566,330.958218,132.159123,L9 -> L8 -> L1 -> L18 -> L15 -> L11 -> L10 -> L19 -> L7 -> L28 -> L22 -> L4 -> L20 -> L14 -> L27 -> L23 -> L3 -> L6 -> L25 -> L21 -> L5 -> L17 -> L12 -> L13 -> L16 -> L26 -> L24 -> L2
10,145.048445,429.311598,301.009601,132.159123,L2 -> L24 -> L16 -> L26 -> L17 -> L13 -> L12 -> L27 -> L14 -> L23 -> L3 -> L6 -> L5 -> L25 -> L21 -> L10 -> L19 -> L20 -> L4 -> L22 -> L28 -> L7 -> L11 -> L1 -> L8 -> L15 -> L18 -> L9
11,137.388389,480.256614,333.169961,132.159123,L2 -> L24 -> L26 -> L16 -> L17 -> L13 -> L12 -> L21 -> L25 -> L5 -> L6 -> L27 -> L23 -> L14 -> L3 -> L20 -> L4 -> L22 -> L7 -> L28 -> L19 -> L10 -> L15 -> L18 -> L9 -> L11 -> L8 -> L1
12,155.368623,455.973071,322.848032,132.159123,L26 -> L16 -> L13 -> L12 -> L17 -> L27 -> L23 -> L14 -> L3 -> L6 -> L25 -> L21 -> L10 -> L19 -> L5 -> L20 -> L4 -> L22 -> L28 -> L7 -> L18 -> L15 -> L11 -> L8 -> L9 -> L1 -> L2 -> L24
13,148.822826,644.002151,327.600521,132.159123,L24 -> L2 -> L26 -> L16 -> L17 -> L13 -> L12 -> L21 -> L10 -> L19 -> L14 -> L27 -> L23 -> L3 -> L6 -> L25 -> L5 -> L20 -> L4 -> L22 -> L28 -> L7 -> L11 -> L1 -> L9 -> L8 -> L15 -> L18
14,160.330671,439.253223,305.366828,132.159123,L26 -> L16 -> L13 -> L17 -> L12 -> L21 -> L10 -> L19 -> L25 -> L5 -> L6 -> L27 -> L23 -> L14 -> L3 -> L20 -> L22 -> L4 -> L28 -> L7 -> L11 -> L15 -> L18 -> L9 -> L1 -> L8 -> L2 -> L24
15,139.532124,472.992164,314.931288,132.159123,L2 -> L24 -> L16 -> L26 -> L13 -> L12 -> L17 -> L27 -> L23 -> L14 -> L3 -> L6 -> L5 -> L25 -> L21 -> L10 -> L19 -> L20 -> L4 -> L22 -> L28 -> L7 -> L18 -> L15 -> L11 -> L1 -> L8 -> L9
16,150.745157,508.940309,317.417723,132.159123,L9 -> L18 -> L15 -> L11 -> L8 -> L1 -> L24 -> L2 -> L26 -> L16 -> L13 -> L12 -> L20 -> L4 -> L22 -> L28 -> L7 -> L19 -> L10 -> L21 -> L25 -> L5 -> L6 -> L14 -> L27 -> L23 -> L3 -> L17
17,194.195851,454.533744,327.128449,132.159123,L26 -> L16 -> L13 -> L12 -> L21 -> L10 -> L19 -> L22 -> L4 -> L28 -> L7 -> L15 -> L18 -> L9 -> L8 -> L1 -> L11 -> L20 -> L27 -> L23 -> L14 -> L3 -> L25 -> L5 -> L6 -> L17 -> L2 -> L24
18,150.394558,463.989516,305.274980,132.159123,L18 -> L15 -> L11 -> L9 -> L8 -> L1 -> L25 -> L5 -> L20 -> L4 -> L22 -> L28 -> L7 -> L19 -> L10 -> L21 -> L12 -> L14 -> L27 -> L23 -> L3 -> L6 -> L17 -> L13 -> L16 -> L26 -> L24 -> L2
19,146.104224,439.980305,324.666827,132.159123,L24 -> L2 -> L26 -> L16 -> L13 -> L12 -> L17 -> L6 -> L5 -> L3 -> L27 -> L14 -> L23 -> L20 -> L4 -> L22 -> L28 -> L7 -> L19 -> L10 -> L21 -> L25 -> L18 -> L15 -> L11 -> L1 -> L8 -> L9
20,152.671150,418.445176,328.910327,132.159123,L9 -> L8 -> L1 -> L11 -> L15 -> L18 -> L26 -> L16 -> L17 -> L27 -> L14 -> L23 -> L3 -> L4 -> L22 -> L28 -> L7 -> L19 -> L20 -> L5 -> L6 -> L25 -> L21 -> L10 -> L12 -> L13 -> L24 -> L2
