iteration,best_cost,worst_cost,average_cost,global_best_cost,best_tour
1,111.629777,324.602631,227.214911,111.629777,L8 -> L5 -> L2 -> L20 -> L19 -> L4 -> L16 -> L12 -> L18 -> L13 -> L7 -> L15 -> L17 -> L9 -> L6 -> L11 -> L3 -> L10 -> L14 -> L1
2,101.396769,308.787325,229.019882,101.396769,L19 -> L4 -> L15 -> L16 -> L18 -> L13 -> L12 -> L7 -> L17 -> L5 -> L8 -> L2 -> L20 -> L9 -> L14 -> L11 -> L6 -> L3 -> L10 -> L1
3,101.535320,287.584964,194.904046,101.396769,L17 -> L15 -> L19 -> L4 -> L18 -> L16 -> L12 -> L13 -> L7 -> L5 -> L8 -> L2 -> L20 -> L10 -> L3 -> L11 -> L6 -> L14 -> L9 -> L1
4,103.993767,306.316018,218.937053,101.396769,L17 -> L8 -> L5 -> L2 -> L20 -> L9 -> L6 -> L11 -> L3 -> L10 -> L14 -> L1 -> L19 -> L4 -> L16 -> L18 -> L13 -> L12 -> L7 -> L15
5,126.483377,366.524032,207.065970,101.396769,L17 -> L8 -> L5 -> L2 -> L20 -> L10 -> L3 -> L6 -> L11 -> L14 -> L9 -> L1 -> L4 -> L18 -> L16 -> L12 -> L13 -> L7 -> L15 -> L19
6,101.979501,351.710124,221.091165,101.396769,L19 -> L4 -> L18 -> L16 -> L12 -> L13 -> L7 -> L15 -> L17 -> L8 -> L5 -> L2 -> L20 -> L10 -> L3 -> L11 -> L6 -> L14 -> L9 -> L1
7,92.128690,280.772763,200.037341,92.128690,L17 -> L20 -> L5 -> L8 -> L2 -> L1 -> L9 -> L6 -> L11 -> L3 -> L10 -> L14 -> L19 -> L4 -> L15 -> L18 -> L16 -> L12 -> L13 -> L7
8,111.606489,294.893134,222.325171,92.128690,L16 -> L18 -> L13 -> L12 -> L7 -> L15 -> L4 -> L19 -> L17 -> L8 -> L2 -> L5 -> L20 -> L1 -> L10 -> L3 -> L11 -> L6 -> L14 -> L9
9,103.055794,280.694448,212.117715,92.128690,L17 -> L20 -> L5 -> L8 -> L2 -> L1 -> L9 -> L6 -> L11 -> L3 -> L10 -> L14 -> L19 -> L4 -> L18 -> L16 -> L12 -> L13 -> L7 -> L15
10,118.367179,319.458402,217.685463,92.128690,L17 -> L8 -> L5 -> L2 -> L20 -> L19 -> L4 -> L18 -> L16 -> L12 -> L13 -> L7 -> L15 -> L9 -> L6 -> L11 -> L3 -> L10 -> L14 -> L1
11,94.973244,286.202292,199.575708,92.128690,L15 -> L19 -> L4 -> L16 -> L18 -> L13 -> L12 -> L7 -> L17 -> L8 -> L2 -> L20 -> L5 -> L10 -> L3 -> L11 -> L6 -> L14 -> L9 -> L1
12,124.382763,393.499720,216.904294,92.128690,L20 -> L5 -> L8 -> L2 -> L10 -> L3 -> L6 -> L11 -> L14 -> L9 -> L1 -> L16 -> L18 -> L12 -> L13 -> L7 -> L15 -> L4 -> L19 -> L17
